team,player_name,player_id,position,event_name,count_event,count_event_neighbor,puntos_total,minutes_played,cluster,rol,percentile_position,percentile_role,primary_position,primary_role,market_value_mill
Demo Club Norte,Player_001,900001,AMF,Pass,29,13,4.2657,749.0,1,Advanced Playmaker,77.89566159198328,76.76477732440529,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Long ball,12,6,1.8024,749.0,1,Advanced Playmaker,68.36006753984586,35.05860068517585,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Wide ball,13,6,1.9226,749.0,1,Advanced Playmaker,55.83589129105524,42.795221258688926,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Through ball,24,17,3.9052,749.0,1,Advanced Playmaker,39.173382374537454,56.072157007640584,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Progressive pass,16,2,2.0427,749.0,1,Advanced Playmaker,45.00308618144259,29.51247247612489,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Key pass,24,26,4.4459,749.0,1,Advanced Playmaker,92.13325387531269,92.36813580950951,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Take on,23,12,3.4846,749.0,1,Advanced Playmaker,5.3980259142569125,49.17598970459399,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Foul commit,17,8,2.5234,749.0,1,Advanced Playmaker,30.998929923321302,74.16951659644671,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Foul Won,19,13,3.0641,749.0,1,Advanced Playmaker,43.76117189579789,8.639028938567158,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Tackle,12,4,1.6822,749.0,1,Advanced Playmaker,59.92358658123401,40.192259160160646,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Defensive reading,13,6,1.9226,749.0,1,Advanced Playmaker,46.231227945875744,34.52238088964462,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Clearance,14,7,2.1028,749.0,1,Advanced Playmaker,55.422617702767326,18.566059644477427,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Shot,37,14,5.287,749.0,1,Advanced Playmaker,52.00127437827736,48.80479258576735,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Aerial,10,5,1.502,749.0,1,Advanced Playmaker,55.11657330234168,85.68401716078654,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Ball recovery,13,10,2.1629,749.0,1,Advanced Playmaker,38.6430291056226,46.34317240837616,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,AMF,Turnover,11,7,1.7423,749.0,1,Advanced Playmaker,36.78298055490649,46.15437098653893,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Pass,14,8,2.1629,749.0,3,Target Man,73.95783962378609,89.68767461374887,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Long ball,5,4,0.8411,749.0,3,Target Man,15.842024089603537,71.406571205826,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Wide ball,10,2,1.3218,749.0,3,Target Man,32.32911505510789,33.4128355420121,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Through ball,6,7,1.1415,749.0,3,Target Man,11.801332033007718,32.543240941592174,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Progressive pass,10,2,1.3218,749.0,3,Target Man,51.75435111284516,28.998239778518155,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Key pass,6,8,1.2016,749.0,3,Target Man,43.122839914072955,70.43908579618193,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Take on,23,17,3.785,749.0,3,Target Man,49.45383057114936,80.77911427213604,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Foul commit,8,3,1.1415,749.0,3,Target Man,28.090483140702602,31.615450163084663,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Foul Won,20,11,3.0641,749.0,3,Target Man,53.5775592898339,44.30605470305735,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Tackle,11,3,1.502,749.0,3,Target Man,34.10041386288691,52.1226169649845,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Defensive reading,10,5,1.502,749.0,3,Target Man,53.03591588934957,31.652626839581046,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Clearance,10,4,1.4419,749.0,3,Target Man,69.29855862008316,48.068475370610365,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Shot,43,18,6.2483,749.0,3,Target Man,100.0,53.85181276756293,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Aerial,33,14,4.8064,749.0,3,Target Man,49.994596529832535,43.44564489914803,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Ball recovery,10,10,1.8024,749.0,3,Target Man,24.056080375177565,30.399267867921242,AMF,Advanced Playmaker,16.8
Demo Club Norte,Player_001,900001,CF,Turnover,21,14,3.3645,749.0,3,Target Man,33.648686628764544,58.07307250798967,AMF,Advanced Playmaker,16.8
Demo Club Capital,Player_002,900002,CMF,Pass,49,18,2.3535,2218.0,2,Holding Midfielder,63.148321370882385,39.97410343714417,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Long ball,13,8,0.6898,2218.0,2,Holding Midfielder,25.424427222972632,38.4062429302419,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Wide ball,15,5,0.7101,2218.0,2,Holding Midfielder,56.09738424631513,60.1254003161376,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Through ball,19,11,0.9941,2218.0,2,Holding Midfielder,59.52146637261214,59.09064024409716,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Progressive pass,32,11,1.5216,2218.0,2,Holding Midfielder,88.23984543058418,80.46948252301164,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Key pass,29,9,1.3593,2218.0,2,Holding Midfielder,41.729098548355964,55.115065247140066,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Take on,13,7,0.6695,2218.0,2,Holding Midfielder,58.071686673553984,39.04016041602981,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Foul commit,5,6,0.3246,2218.0,2,Holding Midfielder,38.10275575975992,29.819357418840305,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Foul Won,25,10,1.2173,2218.0,2,Holding Midfielder,66.0639894669126,63.25351135007755,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Tackle,12,3,0.5478,2218.0,2,Holding Midfielder,69.65488556040336,41.30723237048234,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Defensive reading,16,4,0.7304,2218.0,2,Holding Midfielder,60.399762537784056,41.7193070466813,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Clearance,8,3,0.3855,2218.0,2,Holding Midfielder,28.99607070724405,93.8066548538294,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Shot,7,10,0.4869,2218.0,2,Holding Midfielder,47.578938616604354,12.735803372511871,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Aerial,13,8,0.6898,2218.0,2,Holding Midfielder,41.732568513550255,30.95012333997132,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Ball recovery,22,13,1.1564,2218.0,2,Holding Midfielder,63.246905290602314,52.08223351804663,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,CMF,Turnover,6,6,0.3652,2218.0,2,Holding Midfielder,51.889171871278194,4.811384376600913,CMF,Holding Midfielder,6.04
Demo Club Capital,Player_002,900002,DMF,Pass,41,20,2.0694,2218.0,1,Deep Lying Playmaker,90.39202589018781,91.27098452790693,CMF,Holding Midfielder,6.04
