player_id,foot,height,weight,market_value_eur,contract_years,age,rank,country_group,team_group_model,team_points_1a,minutes_2324,minutes_variation,risk_load_excess,risk_hist_excess,primary_position,primary_position_share,secondary_position,secondary_position_share,n_posiciones,versatilidad_posicional,perfil_posicional,linea_principal,linea_secundaria,primary_role,secondary_role,secondary_role_position,polivalencia_global,player_name,team,offensive_impact,expected_offensive_impact,xg90,xa90,npg_minus_xg90,shots_on_target90,shot_quality,goal_conversion,finishing_ratio,box_threat,remates90,goles90,creativity_index,assist_chain90,chance_creation,assist_involvement,movement_threat,key_passes90,assist90,passes_completed90,forward_passes_completed90,long_passes_completed90,final_third_passes_completed90,deep_passes_completed90,progressive_passes_completed90,progressive_passing_ratio,verticality,final_third_ratio,progressive_passes90,progression_index,progression_eff,deep_progression,box_progression,dribbles_completed90,attacking_duels_won90,offensive_duel_proxy,penetration,involvement,centrality,box_presence,foul_draw_rate,crosses_completed90,crossing_threat,defensive_duels_won90,aerial_duels_won90,def_activity,discipline_penalty,clean_defense,def_activity_per_foul,defensive_impact,defense_global,area_raw,ataque_score_posicion_principal,creacion_score_posicion_principal,pase_score_posicion_principal,progresion_regate_score_posicion_principal,participacion_score_posicion_principal,defensa_score_posicion_principal,ataque_score_rol_principal,creacion_score_rol_principal,pase_score_rol_principal,progresion_regate_score_rol_principal,participacion_score_rol_principal,defensa_score_rol_principal
900001,izquierdo,179,90,16800000.0,3.0,22,62.0,Argentina,champions,75,749,-189,0.004015830955818546,0.02245900197911721,AMF,0.917,CF,0.198,2,0.313,polivalente,MID,ATT,Advanced Playmaker,Target Man,CF,media,Player_001,Demo Club Norte,1.036,1.147,0.319,0.157,0.06,1.011,0.157,0.186,1.027,1.17,2.036,0.379,1.266,3.039,1.737,0.681,1.117,1.727,0.106,42.295,24.928,8.571,12.779,3.685,4.698,0.111,0.589,0.26,4.944,0.921,1.216,0.456,0.928,2.545,2.388,1.078,1.063,0.987,1.387,1.486,1.055,0.103,0.456,3.377,2.547,0.341,0.226,0.507,0.138,0.774,0.39,0.496,13.239918762577751,61.77604365684402,60.2146862986917,48.652372586671405,93.59676971825007,19.944547734242292,59.767068534202224,34.73592968106712,74.5373955372232,56.52754516933259,67.1489987617346,27.286505301227407
900002,izquierdo,184,67,6040000.0,1.0,34,23.0,Portugal,europa,63,2218,870,0.0006837789373484817,0.0,CMF,0.723,DMF,0.165,2,0.088,polivalente,MID,MID,Holding Midfielder,Deep Lying Playmaker,DMF,alta,Player_002,Demo Club Capital,1.049,0.795,0.213,0.229,0.017,0.786,0.087,0.094,0.875,0.794,2.454,0.23,1.053,2.749,0.845,0.738,0.815,1.123,0.178,56.644,19.429,12.128,10.601,2.738,5.742,0.101,0.343,0.166,5.803,0.92,0.893,0.37,1.027,1.452,1.659,1.216,1.046,1.395,1.143,0.195,1.201,0.254,0.005,3.356,2.031,0.894,0.222,0.321,0.358,0.883,0.745,0.383,52.81514401865957,50.64230153579726,83.98528718607159,52.94389604287647,73.38353783076361,78.59019223101333,32.6500679276851,75.78001047352078,67.17882367788276,63.84830584065214,44.66612422116788,53.7502263809468
900003,ambidiestro,184,76,7460000.0,1.0,24,37.0,España,media_tabla,52,1766,367,0.0020426354820378897,0.0,CMF,0.871,,,1,0.048,principal_clara,MID,,Holding Midfielder,,,baja,Player_003,Demo Club Mediterráneo,0.808,0.791,0.236,0.107,0.065,1.052,0.115,0.146,1.052,0.467,2.06,0.301,1.276,1.16,1.011,0.94,0.674,1.922,0.077,52.208,26.706,8.969,11.361,5.854,7.867,0.151,0.512,0.18,7.71,1.373,0.978,0.679,1.326,1.236,1.591,0.396,1.041,1.129,0.713,0.634,2.096,0.573,0.0,3.766,2.501,0.766,0.264,0.597,0.841,0.364,0.808,1.086,43.96465273592563,48.803362974188204,41.058556989508304,80.80664925502863,62.64705051978428,18.3012959931962,57.772356164618394,64.58624383222724,63.12347979132213,47.52452807452401,64.80805974042876,58.6389862197031
900004,ambidiestro,187,84,2890000.0,1.5,18,39.0,España,baja_tabla,35,1241,37,0.003415287502136156,0.015673671169070147,CF,0.846,WF,0.238,2,0.392,polivalente,ATT,ATT,Poacher,Inside Forward,WF,media,Player_004,Demo Club Atlántico,1.508,1.571,0.408,0.18,-0.038,1.233,0.147,0.133,0.808,1.315,2.774,0.37,0.814,2.581,0.361,0.369,0.925,0.871,0.132,40.352,16.042,6.328,7.166,3.522,4.004,0.099,0.398,0.154,3.859,0.829,0.586,0.813,0.458,0.648,0.524,0.368,0.601,0.704,0.628,0.725,0.667,0.799,0.476,0.583,5.348,0.014,0.144,0.123,0.137,0.346,0.209,1.426,71.13823788924275,45.70434642052573,40.27764839727662,51.78742523778329,42.4544850820463,53.20652160739132,63.264180098356576,47.44833579934535,43.00534788276966,36.58387814400919,53.2662967283819,37.15546080132669
900005,izquierdo,179,63,9630000.0,1.5,20,81.0,Argentina,descenso,27,2652,1173,0.011,0.0,WF,0.995,,,1,0.088,especialista,ATT,,Winger,,,baja,Player_005,Demo Club Sur,1.181,1.319,0.36,0.236,0.016,1.297,0.102,0.106,0.917,1.407,3.532,0.376,0.757,2.017,0.706,1.339,1.151,1.288,0.167,52.1,18.26,6.397,9.481,3.773,6.961,0.134,0.35,0.188,7.994,1.035,1.471,1.714,0.955,3.212,4.556,1.364,1.71,0.719,0.66,1.341,2.338,0.814,1.349,2.979,0.957,0.46,0.092,0.33,0.425,0.607,0.254,1.107,41.96827565948192,55.200994457946486,56.069468024763204,63.37821149990907,66.67806207243449,44.55521370719722,77.15683518469218,42.06336223937316,60.99001489987287,45.66094847639825,73.60642162580433,19.537560697139952
900006,izquierdo,183,84,20240000.0,2.0,31,55.0,España,champions,73,789,346,0.0007289829697348449,0.0,DMF,0.955,,,1,0.116,principal_clara,MID,,Deep Lying Playmaker,,,baja,Player_006,Demo Club Interior,0.231,0.265,0.084,0.145,0.002,0.194,0.159,0.163,0.642,0.612,0.527,0.086,0.779,1.335,0.45,0.72,0.2,0.939,0.071,56.85,19.262,11.781,6.25,3.484,7.078,0.125,0.339,0.102,7.855,0.916,1.163,0.482,1.09,0.946,1.439,0.87,1.405,1.447,1.355,0.27,1.461,0.0,0.405,5.83,3.996,1.227,0.161,1.254,1.099,1.571,0.747,0.924,28.41984067318665,44.11512590325193,65.26795944828766,47.545209456302416,30.072268261378436,35.104043374876056,30.502153900022396,39.03012529013973,87.94096293534513,56.31489768591282,72.28242397090763,61.82271906870828
900007,derecho,190,77,26270000.0,4.0,27,31.0,Norte de África,europa,57,1311,1032,0.0050217854465229314,0.0,WF,0.944,,,1,0.045,especialista,ATT,,Inside Forward,,,baja,Player_007,Demo Club Norte,1.121,1.284,0.368,0.155,0.116,1.493,0.109,0.144,1.158,1.124,3.363,0.484,1.39,1.983,1.055,0.476,1.179,1.629,0.15,35.659,15.133,8.172,5.159,4.721,8.956,0.251,0.424,0.275,9.662,1.094,0.794,0.938,1.71,2.747,4.385,0.976,1.123,0.656,1.144,1.734,1.323,1.311,0.857,4.066,1.947,0.238,0.002,0.244,0.356,0.254,0.46,1.389,65.0279238129491,59.55533708935616,45.06448980730021,41.15616391499233,63.89636884937966,29.69707400176494,64.92928771988299,42.832867096104216,41.28964487989569,54.07838714915826,53.847662004821444,31.38869661737317
900008,izquierdo,196,77,9480000.0,1.5,25,61.0,Brasil,media_tabla,51,2016,503,0.004790294536902656,0.009500396608383588,AMF,0.967,,,1,0.076,principal_clara,MID,,Second Striker,,,baja,Player_008,Demo Club Capital,0.799,1.091,0.314,0.148,-0.08,0.875,0.102,0.076,0.643,1.072,3.088,0.234,0.893,3.691,1.303,1.328,0.437,1.582,0.087,44.534,25.148,9.681,13.488,5.072,6.114,0.137,0.565,0.247,5.873,0.988,0.839,1.01,1.122,2.271,2.282,0.957,0.958,1.001,0.682,1.341,1.498,0.0,0.8,2.626,1.962,0.484,0.037,0.255,0.164,0.341,0.856,0.733,60.42533263581595,50.30335776330453,35.3279737047619,61.90057353918718,37.66567890861218,42.46147576891578,54.44122500402816,48.215773859110854,79.5432746238707,49.35085354964228,59.31529943729477,34.55247825033307
900009,izquierdo,194,88,1000000.0,3.0,31,23.0,Portugal,baja_tabla,35,2876,-551,0.00024801164644731096,0.0,CMF,0.925,AMF,0.174,2,0.194,polivalente,MID,MID,Box-to-box Midfielder,Advanced Playmaker,AMF,media,Player_009,Demo Club Mediterráneo,1.004,0.615,0.231,0.263,0.062,1.011,0.124,0.157,1.043,0.456,1.861,0.293,1.492,2.78,1.549,1.439,0.607,1.753,0.282,63.842,20.76,12.468,11.801,3.6,3.976,0.062,0.325,0.147,3.926,1.23,1.437,0.463,1.304,1.782,2.265,0.814,1.328,1.355,1.356,0.521,1.876,0.27,0.41,6.641,4.484,0.701,0.084,0.66,0.416,0.916,0.813,1.479,48.86382245729667,30.734492961300532,100.0,41.017410890806985,50.61425034785022,63.11133374408847,56.648482780066885,38.0702308909501,76.11154555787665,73.83691529999447,36.69011097202521,43.98363143669224
900010,izquierdo,195,88,8160000.0,1.5,31,39.0,Brasil,descenso,32,1499,798,0.0015305625770875098,0.0,WF,0.89,,,1,0.088,principal_clara,ATT,,Winger,,,baja,Player_010,Demo Club Atlántico,1.24,1.178,0.308,0.079,-0.079,0.952,0.097,0.072,0.64,1.291,3.159,0.229,1.215,2.572,0.585,1.434,0.689,1.506,0.038,55.82,18.141,9.851,6.955,4.235,6.673,0.12,0.325,0.176,7.114,1.397,1.783,0.723,1.749,3.567,3.994,1.401,1.01,0.636,0.559,1.704,1.482,1.515,1.535,3.727,2.299,0.233,0.243,0.277,0.269,0.499,0.489,1.337,56.6613906647587,56.71953497175518,70.23640166806295,60.948826240889396,58.409957106395,15.262151729511427,58.826577491364155,44.15537107878284,72.45128409009044,72.67604048689276,46.232861229713556,63.020063917120424
