player_id,foot,height,weight,market_value_eur,contract_years,age,rank,country_group,team_group_model,team_points_1a,minutes_2324,minutes_variation,risk_load_excess,risk_hist_excess,primary_position,primary_position_share,secondary_position,secondary_position_share,n_posiciones,versatilidad_posicional,perfil_posicional,linea_principal,linea_secundaria,primary_role,secondary_role,secondary_role_position,polivalencia_global,player_name,team,offensive_impact,expected_offensive_impact,xg90,xa90,npg_minus_xg90,shots_on_target90,shot_quality,goal_conversion,finishing_ratio,box_threat,remates90,goles90,creativity_index,assist_chain90,chance_creation,assist_involvement,movement_threat,key_passes90,assist90,passes_completed90,forward_passes_completed90,long_passes_completed90,final_third_passes_completed90,deep_passes_completed90,progressive_passes_completed90,progressive_passing_ratio,verticality,final_third_ratio,progressive_passes90,progression_index,progression_eff,deep_progression,box_progression,dribbles_completed90,attacking_duels_won90,offensive_duel_proxy,penetration,involvement,centrality,box_presence,foul_draw_rate,crosses_completed90,crossing_threat,defensive_duels_won90,aerial_duels_won90,def_activity,discipline_penalty,clean_defense,def_activity_per_foul,defensive_impact,defense_global,area_raw,ataque_score_posicion_principal,creacion_score_posicion_principal,pase_score_posicion_principal,progresion_regate_score_posicion_principal,participacion_score_posicion_principal,defensa_score_posicion_principal,ataque_score_rol_principal,creacion_score_rol_principal,pase_score_rol_principal,progresion_regate_score_rol_principal,participacion_score_rol_principal,defensa_score_rol_principal,primary_role_code,secondary_role_code,market_value_mill,skill_minutes,distance_p90,m_per_min_p90,running_distance_p90,hsr_distance_p90,sprint_distance_p90,hi_distance_p90,high_acc_count_p90,high_dec_count_p90,explosive_acc_to_sprint_p90,psv99,team_name,birthday,nationality,lesionado,incidencia,duracion_mediana,critical_injury,gravedad,recurrence,reincidencia,muscle_share,age_hist,diversity,dias_desde_ultima_lesion,dias_baja_acumulados,sd_dias_baja,media_gravedad,split_hist,prob_lesion_lasso,percentil_riesgo_lasso,grupo_riesgo_lasso,pred_lesion_lasso,p_hist,p_basal_hist,exceso_riesgo_hist,exceso_riesgo_hist_pos,split_jugador,n_ventanas_modelo,fecha_ultima_ventana,lesion_observada_jugador,suma_prob_ventanas,lesiones_esperadas,prob_lesion_temporada,prob_lesion_media,prob_lesion_ultima,prob_lesion_reciente,prob_lesion_p90,prob_lesion_max,n_episodios_observados,prob_lesion_temporada_basal_exposicion,risk_load_excess_src,penalizacion_lesion_pct_load,split,pred_iso_mill,pred_raw_mill,diff_iso_mill,diff_raw_mill,ratio_iso,ratio_raw,abs_error_iso_mill,abs_pct_error_iso,market_signal,team_group_table,posicion_final,team_points_2324,uefa_classification,puntos_en_1a,injured_2324_hist,injured_2324_load,risk_hist_pct,risk_load_pct,error_label,value_band
900001,izquierdo,179,90,16800000.0,3.0,22,62.0,Argentina,champions,75,749,-189,0.004015830955818546,0.02245900197911721,AMF,0.917,CF,0.198,2,0.313,polivalente,MID,ATT,Advanced Playmaker,Target Man,CF,media,Player_001,Demo Club Norte,1.036,1.147,0.319,0.157,0.06,1.011,0.157,0.186,1.027,1.17,2.036,0.379,1.266,3.039,1.737,0.681,1.117,1.727,0.106,42.295,24.928,8.571,12.779,3.685,4.698,0.111,0.589,0.26,4.944,0.921,1.216,0.456,0.928,2.545,2.388,1.078,1.063,0.987,1.387,1.486,1.055,0.103,0.456,3.377,2.547,0.341,0.226,0.507,0.138,0.774,0.39,0.496,13.239918762577751,61.77604365684402,60.2146862986917,48.652372586671405,93.59676971825007,19.944547734242292,59.767068534202224,34.73592968106712,74.5373955372232,56.52754516933259,67.1489987617346,27.286505301227407,AMF_1,CF_3,16.8,653.2261175034507,9854.99,104.33,784.4,272.76,28.46,479.01,7.23,5.75,1.89,26.98,Demo Club Norte,2002-01-02,Demo Marruecos,X0,29.914,60.0,0,3,0,0,0.58,22,0,667,20,5.952,1.442,test,0.5124590019791172,48.58,Medio,X1,0.5124590019791172,0.49,0.02245900197911721,0.02245900197911721,test,12.0,2024-05-25,0.0,0.2101,0.0814,0.1672356855256396,0.0875,0.086,0.0661,0.1236,0.2833,0.0,0.1632,0.004015830955818546,0.0151,train,13.8359,13.5975,-2.9641,-3.2025,0.8236,0.8094,2.9641,0.1764,Ajustado,champions,1,75,champions,75,False,False,2.245900197911721,0.40158309558185457,Ajustado,15-40 M€
900002,izquierdo,184,67,6040000.0,1.0,34,23.0,Portugal,europa,63,2218,870,0.0006837789373484817,0.0,CMF,0.723,DMF,0.165,2,0.088,polivalente,MID,MID,Holding Midfielder,Deep Lying Playmaker,DMF,alta,Player_002,Demo Club Capital,1.049,0.795,0.213,0.229,0.017,0.786,0.087,0.094,0.875,0.794,2.454,0.23,1.053,2.749,0.845,0.738,0.815,1.123,0.178,56.644,19.429,12.128,10.601,2.738,5.742,0.101,0.343,0.166,5.803,0.92,0.893,0.37,1.027,1.452,1.659,1.216,1.046,1.395,1.143,0.195,1.201,0.254,0.005,3.356,2.031,0.894,0.222,0.321,0.358,0.883,0.745,0.383,52.81514401865957,50.64230153579726,83.98528718607159,52.94389604287647,73.38353783076361,78.59019223101333,32.6500679276851,75.78001047352078,67.17882367788276,63.84830584065214,44.66612422116788,53.7502263809468,CMF_2,DMF_1,6.04,1840.6435459992874,8005.14,109.93,1451.78,538.79,161.34,605.64,3.15,7.75,1.92,27.49,Demo Club Capital,1990-06-09,Demo Uruguay,X0,4.058,21.0,0,2,0,0,0.83,34,1,917,245,41.459,2.383,train,0.448909768416086,25.04,Bajo,X0,0.448909768416086,0.49,0.0,0.0,train,17.0,2024-05-25,0.0,0.4154,0.0869,0.28784424279861304,0.1768,0.2425,0.2279,0.2548,0.3958,0.0,0.2872,0.0006837789373484817,0.0003,valid,6.4927,6.184,0.4527,0.144,1.075,1.0238,0.4527,0.075,Ajustado,europa,2,63,europa,63,False,False,0.0,0.06837789373484818,Ajustado,5-15 M€
900003,ambidiestro,184,76,7460000.0,1.0,24,37.0,España,media_tabla,52,1766,367,0.0020426354820378897,0.0,CMF,0.871,,,1,0.048,principal_clara,MID,,Holding Midfielder,,,baja,Player_003,Demo Club Mediterráneo,0.808,0.791,0.236,0.107,0.065,1.052,0.115,0.146,1.052,0.467,2.06,0.301,1.276,1.16,1.011,0.94,0.674,1.922,0.077,52.208,26.706,8.969,11.361,5.854,7.867,0.151,0.512,0.18,7.71,1.373,0.978,0.679,1.326,1.236,1.591,0.396,1.041,1.129,0.713,0.634,2.096,0.573,0.0,3.766,2.501,0.766,0.264,0.597,0.841,0.364,0.808,1.086,43.96465273592563,48.803362974188204,41.058556989508304,80.80664925502863,62.64705051978428,18.3012959931962,57.772356164618394,64.58624383222724,63.12347979132213,47.52452807452401,64.80805974042876,58.6389862197031,CMF_2,,7.46,1415.3218847233304,10216.39,118.63,1448.67,376.68,147.5,570.56,6.32,5.72,0.52,26.96,Demo Club Mediterráneo,2000-11-22,Demo Marruecos,X1,13.918,10.0,0,4,0,0,0.143,24,1,119,83,19.557,1.514,train,0.47315326731937885,8.54,Bajo,X1,0.47315326731937885,0.49,0.0,0.0,test,16.0,2024-05-25,0.0,0.1251,0.12,0.242335495821228,0.0991,0.1823,0.1076,0.2894,0.3521,1.0,0.2403,0.0020426354820378897,0.0008,valid,7.9663,7.9594,0.5063,0.4994,1.0679,1.0669,0.5063,0.0679,Ajustado,media_tabla,3,52,media_tabla,52,True,False,0.0,0.20426354820378897,Ajustado,5-15 M€
900004,ambidiestro,187,84,2890000.0,1.5,18,39.0,España,baja_tabla,35,1241,37,0.003415287502136156,0.015673671169070147,CF,0.846,WF,0.238,2,0.392,polivalente,ATT,ATT,Poacher,Inside Forward,WF,media,Player_004,Demo Club Atlántico,1.508,1.571,0.408,0.18,-0.038,1.233,0.147,0.133,0.808,1.315,2.774,0.37,0.814,2.581,0.361,0.369,0.925,0.871,0.132,40.352,16.042,6.328,7.166,3.522,4.004,0.099,0.398,0.154,3.859,0.829,0.586,0.813,0.458,0.648,0.524,0.368,0.601,0.704,0.628,0.725,0.667,0.799,0.476,0.583,5.348,0.014,0.144,0.123,0.137,0.346,0.209,1.426,71.13823788924275,45.70434642052573,40.27764839727662,51.78742523778329,42.4544850820463,53.20652160739132,63.264180098356576,47.44833579934535,43.00534788276966,36.58387814400919,53.2662967283819,37.15546080132669,CF_1,WF_1,2.89,1194.9282320689751,9762.72,124.31,1204.13,512.03,143.93,653.68,4.26,8.95,4.08,30.6,Demo Club Atlántico,2006-02-08,Demo Portugal,X0,2.564,21.0,0,1,0,0,0.205,18,1,559,186,30.877,3.205,test,0.5056736711690701,65.79,Medio,X1,0.5056736711690701,0.49,0.015673671169070147,0.015673671169070147,test,23.0,2024-05-25,0.0,0.198,0.0576,0.22564008426049598,0.1559,0.079,0.1076,0.1721,0.3709,0.0,0.2222,0.003415287502136156,0.0108,train,3.4194,2.4812,0.5294,-0.4088,1.1832,0.8585,0.5294,0.1832,Ajustado,baja_tabla,4,35,baja_tabla,35,False,False,1.5673671169070147,0.3415287502136156,Ajustado,1-5 M€
900005,izquierdo,179,63,9630000.0,1.5,20,81.0,Argentina,descenso,27,2652,1173,0.011,0.0,WF,0.995,,,1,0.088,especialista,ATT,,Winger,,,baja,Player_005,Demo Club Sur,1.181,1.319,0.36,0.236,0.016,1.297,0.102,0.106,0.917,1.407,3.532,0.376,0.757,2.017,0.706,1.339,1.151,1.288,0.167,52.1,18.26,6.397,9.481,3.773,6.961,0.134,0.35,0.188,7.994,1.035,1.471,1.714,0.955,3.212,4.556,1.364,1.71,0.719,0.66,1.341,2.338,0.814,1.349,2.979,0.957,0.46,0.092,0.33,0.425,0.607,0.254,1.107,41.96827565948192,55.200994457946486,56.069468024763204,63.37821149990907,66.67806207243449,44.55521370719722,77.15683518469218,42.06336223937316,60.99001489987287,45.66094847639825,73.60642162580433,19.537560697139952,WF_3,,9.63,2384.350503409342,9499.17,124.31,1172.97,467.8,194.1,647.8,5.63,7.68,2.03,33.13,Demo Club Sur,2004-01-19,Demo Francia,X0,8.127,14.0,0,2,1,0,0.559,20,0,601,72,23.664,1.295,train,0.47119953005857274,29.9,Bajo,X1,0.47119953005857274,0.49,0.0,0.0,test,6.0,2024-05-25,1.0,0.3049,0.1639,0.42565244969709337,0.2703,0.3807,0.4108,0.379,0.5669,1.0,0.4147,0.011,0.0044,train,6.7121,6.1145,-2.9179,-3.5155,0.697,0.6349,2.9179,0.303,Potencialmente sobrevalorado,descenso,5,27,descenso,27,False,True,0.0,1.0999999999999999,Sobrevalorado por mercado,5-15 M€
900006,izquierdo,183,84,20240000.0,2.0,31,55.0,España,champions,73,789,346,0.0007289829697348449,0.0,DMF,0.955,,,1,0.116,principal_clara,MID,,Deep Lying Playmaker,,,baja,Player_006,Demo Club Interior,0.231,0.265,0.084,0.145,0.002,0.194,0.159,0.163,0.642,0.612,0.527,0.086,0.779,1.335,0.45,0.72,0.2,0.939,0.071,56.85,19.262,11.781,6.25,3.484,7.078,0.125,0.339,0.102,7.855,0.916,1.163,0.482,1.09,0.946,1.439,0.87,1.405,1.447,1.355,0.27,1.461,0.0,0.405,5.83,3.996,1.227,0.161,1.254,1.099,1.571,0.747,0.924,28.41984067318665,44.11512590325193,65.26795944828766,47.545209456302416,30.072268261378436,35.104043374876056,30.502153900022396,39.03012529013973,87.94096293534513,56.31489768591282,72.28242397090763,61.82271906870828,DMF_1,,20.24,799.9084776469155,10900.59,101.22,1137.04,259.57,-120.12,655.69,5.67,8.37,1.63,31.01,Demo Club Interior,1993-12-24,Demo Senegal,X1,4.216,21.0,0,2,0,1,0.716,31,1,851,28,8.989,1.057,train,0.4666480739790934,72.13,Bajo,X1,0.4666480739790934,0.49,0.0,0.0,train,21.0,2024-05-25,0.0,0.2104,0.0688,0.14534561463093143,0.059,0.0891,0.0987,0.1031,0.2443,0.0,0.1446,0.0007289829697348449,0.0003,valid,19.4752,20.3918,-0.7648,0.1518,0.9622,1.0075,0.7648,0.0378,Ajustado,champions,6,73,champions,73,True,False,0.0,0.07289829697348449,Ajustado,15-40 M€
900007,derecho,190,77,26270000.0,4.0,27,31.0,Norte de África,europa,57,1311,1032,0.0050217854465229314,0.0,WF,0.944,,,1,0.045,especialista,ATT,,Inside Forward,,,baja,Player_007,Demo Club Norte,1.121,1.284,0.368,0.155,0.116,1.493,0.109,0.144,1.158,1.124,3.363,0.484,1.39,1.983,1.055,0.476,1.179,1.629,0.15,35.659,15.133,8.172,5.159,4.721,8.956,0.251,0.424,0.275,9.662,1.094,0.794,0.938,1.71,2.747,4.385,0.976,1.123,0.656,1.144,1.734,1.323,1.311,0.857,4.066,1.947,0.238,0.002,0.244,0.356,0.254,0.46,1.389,65.0279238129491,59.55533708935616,45.06448980730021,41.15616391499233,63.89636884937966,29.69707400176494,64.92928771988299,42.832867096104216,41.28964487989569,54.07838714915826,53.847662004821444,31.38869661737317,WF_1,,26.27,1186.3155100924928,8450.2,115.65,1745.98,276.65,197.0,810.68,8.14,9.28,3.42,31.55,Demo Club Norte,1997-11-17,Demo Uruguay,X1,5.62,60.0,0,1,0,0,0.535,27,1,557,126,1.01,1.274,train,0.47628726075424915,47.69,Bajo,X1,0.47628726075424915,0.49,0.0,0.0,train,26.0,2024-05-25,0.0,0.2222,0.1168,0.23606971304548313,0.0947,0.1934,0.1922,0.2823,0.2939,1.0,0.231,0.0050217854465229314,0.002,train,26.3483,28.6726,0.0783,2.4026,1.003,1.0915,0.0783,0.003,Ajustado,europa,7,57,europa,57,True,False,0.0,0.5021785446522932,Ajustado,15-40 M€
900008,izquierdo,196,77,9480000.0,1.5,25,61.0,Brasil,media_tabla,51,2016,503,0.004790294536902656,0.009500396608383588,AMF,0.967,,,1,0.076,principal_clara,MID,,Second Striker,,,baja,Player_008,Demo Club Capital,0.799,1.091,0.314,0.148,-0.08,0.875,0.102,0.076,0.643,1.072,3.088,0.234,0.893,3.691,1.303,1.328,0.437,1.582,0.087,44.534,25.148,9.681,13.488,5.072,6.114,0.137,0.565,0.247,5.873,0.988,0.839,1.01,1.122,2.271,2.282,0.957,0.958,1.001,0.682,1.341,1.498,0.0,0.8,2.626,1.962,0.484,0.037,0.255,0.164,0.341,0.856,0.733,60.42533263581595,50.30335776330453,35.3279737047619,61.90057353918718,37.66567890861218,42.46147576891578,54.44122500402816,48.215773859110854,79.5432746238707,49.35085354964228,59.31529943729477,34.55247825033307,AMF_2,,9.48,2086.9217507095054,9884.74,107.38,1264.16,345.5,191.94,387.35,6.5,9.1,1.64,29.99,Demo Club Capital,1999-09-18,Demo Portugal,X1,25.331,10.0,0,2,0,0,0.707,25,0,843,25,1.871,1.457,test,0.4995003966083836,1.19,Medio,X1,0.4995003966083836,0.49,0.009500396608383588,0.009500396608383588,test,33.0,2024-05-25,0.0,0.2465,0.1581,0.32110370780101594,0.1824,0.2356,0.2391,0.3149,0.4544,0.0,0.3163,0.004790294536902656,0.0076,valid,9.6262,9.6562,0.1462,0.1762,1.0154,1.0186,0.1462,0.0154,Ajustado,media_tabla,8,51,media_tabla,51,True,False,0.9500396608383588,0.47902945369026556,Ajustado,5-15 M€
900009,izquierdo,194,88,1000000.0,3.0,31,23.0,Portugal,baja_tabla,35,2876,-551,0.00024801164644731096,0.0,CMF,0.925,AMF,0.174,2,0.194,polivalente,MID,MID,Box-to-box Midfielder,Advanced Playmaker,AMF,media,Player_009,Demo Club Mediterráneo,1.004,0.615,0.231,0.263,0.062,1.011,0.124,0.157,1.043,0.456,1.861,0.293,1.492,2.78,1.549,1.439,0.607,1.753,0.282,63.842,20.76,12.468,11.801,3.6,3.976,0.062,0.325,0.147,3.926,1.23,1.437,0.463,1.304,1.782,2.265,0.814,1.328,1.355,1.356,0.521,1.876,0.27,0.41,6.641,4.484,0.701,0.084,0.66,0.416,0.916,0.813,1.479,48.86382245729667,30.734492961300532,100.0,41.017410890806985,50.61425034785022,63.11133374408847,56.648482780066885,38.0702308909501,76.11154555787665,73.83691529999447,36.69011097202521,43.98363143669224,CMF_3,AMF_1,1.0,2287.73254905609,10874.3,106.25,1277.05,402.12,238.79,515.47,4.21,13.44,2.1,27.91,Demo Club Mediterráneo,1993-01-27,Demo Brasil,X0,1.56,21.0,0,1,0,0,0.83,31,1,808,66,42.27,3.191,train,0.4661924464989983,70.38,Bajo,X1,0.4661924464989983,0.49,0.0,0.0,train,8.0,2024-05-25,0.0,0.5207,0.2617,0.3561290489085198,0.1541,0.1315,0.2834,0.2856,0.506,2.0,0.3559,0.00024801164644731096,0.0001,valid,2.0729,0.8589,1.0729,-0.1411,2.0729,0.8589,1.0729,1.0729,Ajustado,baja_tabla,9,35,baja_tabla,35,False,False,0.0,0.024801164644731095,Ajustado,1-5 M€
900010,izquierdo,195,88,8160000.0,1.5,31,39.0,Brasil,descenso,32,1499,798,0.0015305625770875098,0.0,WF,0.89,,,1,0.088,principal_clara,ATT,,Winger,,,baja,Player_010,Demo Club Atlántico,1.24,1.178,0.308,0.079,-0.079,0.952,0.097,0.072,0.64,1.291,3.159,0.229,1.215,2.572,0.585,1.434,0.689,1.506,0.038,55.82,18.141,9.851,6.955,4.235,6.673,0.12,0.325,0.176,7.114,1.397,1.783,0.723,1.749,3.567,3.994,1.401,1.01,0.636,0.559,1.704,1.482,1.515,1.535,3.727,2.299,0.233,0.243,0.277,0.269,0.499,0.489,1.337,56.6613906647587,56.71953497175518,70.23640166806295,60.948826240889396,58.409957106395,15.262151729511427,58.826577491364155,44.15537107878284,72.45128409009044,72.67604048689276,46.232861229713556,63.020063917120424,WF_3,,8.16,1418.1605110363764,10084.07,115.01,1181.58,504.81,282.91,599.55,4.61,9.03,2.71,32.03,Demo Club Atlántico,1993-02-13,Demo Uruguay,X0,9.138,60.0,0,2,0,0,0.142,31,0,742,67,20.671,1.666,train,0.4377885013027046,93.57,Bajo,X0,0.4377885013027046,0.49,0.0,0.0,train,9.0,2024-05-25,0.0,0.3009,0.1455,0.2423091688840829,0.141,0.1211,0.0879,0.2455,0.2999,1.0,0.2408,0.0015305625770875098,0.0006,valid,6.2682,5.8807,-1.8918,-2.2793,0.7682,0.7207,1.8918,0.2318,Potencialmente sobrevalorado,descenso,10,32,descenso,32,False,False,0.0,0.15305625770875098,Sobrevalorado por mercado,5-15 M€
